run_id,target_id,source_name,dataset_name,collection_status,thematic_axis,analytical_role,requested_window,period_start,period_end,coverage_years,target_years,coverage_status,requires_priority_followup,priority_reason
operational-collect-savannah-main-2021-2025-20260411-205418,savannah-main-2021,City of Savannah Water Quality Reports,Savannah Main Report 2021,collected,drinking_water_quality,pressure_core,,2020,2020,1,20,below_target,yes,"Useful lower-basin compliance layer, but it still needs raw-river chemistry and PFAS context around it."
operational-collect-savannah-main-2021-2025-20260411-205418,savannah-main-2022,City of Savannah Water Quality Reports,Savannah Main Report 2022,collected,drinking_water_quality,pressure_core,,2021,2021,1,20,below_target,yes,"Useful lower-basin compliance layer, but it still needs raw-river chemistry and PFAS context around it."
operational-collect-savannah-main-2021-2025-20260411-205418,savannah-main-2023,City of Savannah Water Quality Reports,Savannah Main Report 2023,collected,drinking_water_quality,pressure_core,,2022,2022,1,20,below_target,yes,"Useful lower-basin compliance layer, but it still needs raw-river chemistry and PFAS context around it."
operational-collect-savannah-main-2021-2025-20260411-205418,savannah-main-2024,City of Savannah Water Quality Reports,Savannah Main Report 2024,collected,drinking_water_quality,pressure_core,,2023,2023,1,20,below_target,yes,"Useful lower-basin compliance layer, but it still needs raw-river chemistry and PFAS context around it."
operational-collect-savannah-main-2021-2025-20260411-205418,savannah-main-2025,City of Savannah Water Quality Reports,Savannah Main Report 2025,collected,drinking_water_quality,pressure_core,,2024,2024,1,20,below_target,yes,"Useful lower-basin compliance layer, but it still needs raw-river chemistry and PFAS context around it."
operational-collect-clarkshill-20260401-225924,03-savannah-river-basin-landscape-analysis,19january2021snapshot.epa.gov,Savannah River Basin Landscape Analysis,collected,environmental_pressure,pressure_core,,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-clarkshill-20260401-225924,04-savannah-river-basin-restoration-data-2008,deq.nc.gov,Savannah River Basin Restoration Data 2008,collected,environmental_pressure,pressure_core,,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-river-20260410-204518,07-clemson-middle-lower-savannah-water-quality-study,open.clemson.edu,Water Quality Study of Savannah River Basin (2006-2008),collected,environmental_pressure,pressure_core,2006-2026,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-river-20260410-204518,08-epa-echo-data-downloads,echo.epa.gov,EPA ECHO data downloads landing page,collected,environmental_pressure,pressure_core,2006-2026,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-river-20260410-204518,09-savannah-river-bacteria-tmdl-2023,epd.georgia.gov,Savannah River Basin Bacteria TMDL Report 2023,collected,environmental_pressure,pressure_core,2006-2026,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-river-20260410-204518,10-savannah-river-sediment-tmdl-2010,epd.georgia.gov,Savannah River Basin Sediment TMDL Evaluation 2010,collected,environmental_pressure,pressure_core,2006-2026,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-river-20260410-204518,11-savannah-sustainable-rivers-monitoring-plan,hec.usace.army.mil,Sustainable Rivers Monitoring Plan Savannah River Basin,collected,environmental_pressure,pressure_core,2006-2026,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-river-20260410-204518,12-savannah-harbor-dissolved-oxygen-plan,epd.georgia.gov,Savannah River Basin dissolved oxygen restoration plan,collected,environmental_pressure,pressure_core,2006-2026,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-system-20260409-013209,15-savannah-landscape-analysis-epa,epa.gov,Savannah River Basin Landscape Analysis,collected,environmental_pressure,pressure_core,,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-clarkshill-20260401-225924,sas-usace-thurmond-basin-dam,sas.usace.army.mil,Thurmond Basin Dam Brochure,blocked_for_now,environmental_pressure,pressure_core,,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-system-20260409-013209,14-savannah-bathymetry-noaa,ncei.noaa.gov,Savannah River Bathymetric Digital Elevation Model,partial,environmental_pressure,pressure_core,,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-system-20260409-013209,16-savannah-rbrp-deq,deq.nc.gov,Savannah River Basin Restoration Data,partial,environmental_pressure,pressure_core,,,,,20,missing,yes,Needs structured pollutant and pressure layers that can join the river narrative.
operational-collect-savannah-river-20260410-204518,06-nws-rvf-cae-text,forecast.weather.gov,NWS River Forecast Text Product CAE RVF,collected,other_context,supporting_context,2006-2026,,,,20,missing,,
operational-collect-savannah-river-20260410-204518,13-reservoir-operations-annex-reference,local_workspace,Existing reservoir operations annex run,collected,other_context,supporting_context,2006-2026,,,,20,missing,,
